BI_Tool,Global_Average,European_Average,Difference,Percent_Difference
Power_BI,36.59722222222222,46.63611111111111,10.038888888888891,27.430740037950674
Tableau,62.55555555555556,37.788888888888884,-24.766666666666673,-39.59147424511546
Cognos,1.3194444444444444,1.5916666666666666,0.27222222222222214,20.631578947368414
