BI_Tool,Region,Average_Search_Interest
Power_BI,Global,36.59722222222222
Power_BI,European_Average,46.63611111111111
Tableau,Global,62.55555555555556
Tableau,European_Average,37.788888888888884
Cognos,Global,1.3194444444444444
Cognos,European_Average,1.5916666666666666
