Country,Power BI,Tableau,Cognos
Germany,58.93055555555556,37.25,3.4166666666666665
France,1.4722222222222223,44.94444444444444,0.0
United Kingdom,62.02777777777778,29.84722222222222,1.8055555555555556
Italy,51.916666666666664,54.791666666666664,1.6388888888888888
Spain,58.833333333333336,22.11111111111111,1.0972222222222223
