Date,Microsoft (Power BI),Salesforce (Tableau),IBM (Cognos)
2019-01-02,94.9455337524414,134.37257385253906,82.19315338134766
2019-01-03,91.45267486572266,129.2672882080078,80.55227661132812
2019-01-04,95.70603942871094,136.7616424560547,83.6984634399414
2019-01-07,95.828125,140.98460388183594,84.29059600830078
2019-01-08,96.5229263305664,144.45419311523438,85.48915100097656
2019-01-09,97.90316772460938,144.72186279296875,86.1026840209961
2019-01-10,97.27409362792969,145.7627410888672,86.88745880126953
2019-01-11,96.5229263305664,146.26834106445312,86.65204620361328
2019-01-14,95.8187255859375,144.78135681152344,85.88866424560547
2019-01-15,98.59798431396484,147.89405822753906,86.84465789794922
2019-01-16,98.94536590576172,147.2497100830078,86.76616668701172
2019-01-17,99.64020538330078,148.51858520507812,87.17284393310547
2019-01-18,101.13311767578125,151.1852264404297,88.335693359375
2019-01-22,99.2270736694336,147.65614318847656,87.40824890136719
2019-01-23,100.19417572021484,148.44920349121094,94.80641174316406
2019-01-24,99.71532440185547,145.59420776367188,94.5495834350586
2019-01-25,100.6260757446289,148.43930053710938,95.57693481445312
2019-01-28,98.66370391845703,146.0502166748047,95.79093170166016
2019-01-29,96.65440368652344,143.9188690185547,95.833740234375
2019-01-30,99.88433837890625,147.8643341064453,95.86941528320312
2019-01-31,98.05342102050781,150.64993286132812,95.89795684814453
2019-02-01,96.50415802001953,154.5160369873047,95.6696548461914
2019-02-04,99.28341674804688,156.34996032714844,96.44728088378906
2019-02-05,100.67304992675781,157.6089630126953,96.7041015625
2019-02-06,99.55567932128906,156.7564239501953,97.25346374511719
2019-02-07,98.84211730957031,153.58419799804688,96.1275405883789
2019-02-08,99.2176742553711,155.30909729003906,96.50284576416016
2019-02-11,98.82333374023438,158.52096557617188,96.70494079589844
2019-02-12,100.36318969726562,161.37591552734375,98.19171905517578
2019-02-13,100.2880630493164,159.00668334960938,99.25267028808594
2019-02-14,100.37257385253906,158.08477783203125,98.50203704833984
2019-02-15,101.61199951171875,157.66842651367188,99.6207504272461
2019-02-19,101.5650405883789,159.21487426757812,100.10429382324219
2019-02-20,101.03694915771484,157.162841796875,99.59908294677734
2019-02-21,103.16806030273438,158.24337768554688,99.48359680175781
2019-02-22,104.63904571533203,159.90879821777344,100.5012435913086
2019-02-25,105.22367858886719,159.9583740234375,100.65282440185547
2019-02-26,105.94973754882812,161.5841064453125,100.8404541015625
2019-02-27,105.77058410644531,161.7030792236328,100.4435043334961
2019-02-28,105.63858032226562,162.22845458984375,99.69288635253906
2019-03-01,106.11002349853516,163.10081481933594,100.46517181396484
2019-03-04,105.85543823242188,157.12319946289062,99.90941619873047
2019-03-05,105.32737731933594,155.60647583007812,99.51245880126953
2019-03-06,105.37455749511719,155.4280548095703,98.86292266845703
2019-03-07,104.09212493896484,154.24838256835938,97.6937255859375
2019-03-08,104.2052993774414,153.7130889892578,97.49884033203125
2019-03-11,106.3929443359375,156.2805938720703,99.38977813720703
2019-03-12,107.13787841796875,156.9051055908203,99.8011703491211
2019-03-13,107.96764373779297,158.4217987060547,100.00326538085938
2019-03-14,108.05249786376953,159.27435302734375,100.16921997070312
2019-03-15,109.29720306396484,160.10704040527344,100.63116455078125
2019-03-18,110.86249542236328,160.54322814941406,101.19412994384766
2019-03-19,110.93794250488281,162.5060272216797,101.39620971679688
2019-03-20,110.81536865234375,162.08970642089844,100.75383758544922
2019-03-21,113.36132049560547,165.4998016357422,102.08184051513672
2019-03-22,110.37216186523438,160.09713745117188,100.64559936523438
2019-03-25,110.94737243652344,159.48252868652344,100.45072174072266
2019-03-26,111.18312072753906,158.015380859375,101.20133209228516
2019-03-27,110.1081314086914,153.77256774902344,100.49402618408203
2019-03-28,110.2590103149414,153.83204650878906,100.98480987548828
2019-03-29,111.21141815185547,156.99432373046875,101.8364486694336
2019-04-01,112.22978210449219,159.7799072265625,103.42427825927734
2019-04-02,112.39007568359375,159.11572265625,103.20773315429688
2019-04-03,113.1255874633789,161.20741271972656,103.66246795654297
2019-04-04,112.55036926269531,157.14303588867188,103.0489730834961
2019-04-05,113.0501480102539,157.1826934814453,103.40982055664062
2019-04-08,113.0878677368164,157.09344482421875,103.48922729492188
2019-04-09,112.4749526977539,155.60647583007812,102.56541442871094
2019-04-10,113.33302307128906,158.8480682373047,103.22216796875
2019-04-11,113.46503448486328,159.33383178710938,103.77069854736328
2019-04-12,114.04965209960938,159.3140106201172,104.18209075927734
2019-04-15,114.14395904541016,158.6993865966797,103.85731506347656
2019-04-16,113.87992858886719,157.31158447265625,104.75226593017578
2019-04-17,114.82288360595703,153.99063110351562,100.40021514892578
2019-04-18,116.33160400390625,154.635009765625,101.28070831298828
2019-04-22,116.69935607910156,157.38092041015625,100.2414321899414
2019-04-23,118.28351593017578,159.82948303222656,101.36011505126953
2019-04-24,117.8780517578125,158.17398071289062,101.0064697265625
2019-04-25,121.78184509277344,161.67332458496094,100.05379486083984
2019-04-26,122.47966003417969,164.51840209960938,100.63838195800781
2019-04-29,122.36650848388672,163.9236297607422,100.35688018798828
2019-04-30,123.14915466308594,163.91371154785156,101.23741912841797
2019-05-01,120.58428955078125,160.74151611328125,101.44672393798828
2019-05-02,119.00958251953125,160.42428588867188,100.74664306640625
2019-05-03,121.54610443115234,161.921142578125,101.22296142578125
2019-05-06,120.8388900756836,161.0884552001953,101.3167953491211
2019-05-07,118.35894012451172,155.53707885742188,99.33927154541016
2019-05-08,118.34951782226562,155.49745178222656,99.59908294677734
2019-05-09,118.340087890625,154.95220947265625,98.83956146240234
